commit	kv_dtype	d64	d512	d2048	d8192	d32768	e64	e512	e2048	e8192	e32768	geo	status	description
c8acf3a8	fp8_e4m3fn	1.390	1.119	1.082	1.064	1.055	0.000	0.000	0.000	0.000	0.000	1.154	discard	minimax fp8 decode predequant row0 QK second K tile; rerun no gain over 32b5e8ff
a3d86a36	fp8_e4m3fn	1.399	1.116	1.075	1.068	1.055	0.000	0.000	0.000	0.000	0.000	1.154	discard	minimax fp8 decode row0 mask-lane specialization; skipped unused lanes but regressed short context
dfa9861b	fp8_e4m3fn	1.378	1.108	1.079	1.062	1.051	0.000	0.000	0.000	0.000	0.000	1.150	discard	minimax fp8 decode wait V earlier after row0 K release; loses overlap before softmax/PV
61126571	fp8_e4m3fn	1.391	1.118	1.081	1.062	1.053	0.000	0.000	0.000	0.000	0.000	1.153	discard	minimax fp8 decode seed row0 qk accumulators from zero; no gain before bf16 pivot
b944ab66	bf16	0.000	0.000	0.000	0.000	0.000	1.213	1.005	0.976	0.963	0.962	1.037	keep	minimax bf16 decode baseline on kept fp8 stack; e*=worst ctx128..131072 across bs1-4
ebee61b9	bf16	0.000	0.000	0.000	0.000	0.000	1.241	1.001	0.983	0.966	0.959	1.048	keep	minimax bf16 decode cta1 planner for head128 gqa6 bs1-4; e*=worst ctx128..131072 across bs1-4
ddf2bec5	bf16	0.000	0.000	0.000	0.000	0.000	1.230	1.005	0.980	0.966	0.962	1.052	discard	minimax bf16 decode generic row0 update/merge lift; +0.004 geo noise and worse short-context floor
2836b58e	bf16	0.000	0.000	0.000	0.000	0.000	1.206	1.005	0.984	0.966	0.960	1.046	discard	minimax bf16 decode early row0 K-stage release before softmax; regressed geo and short-context floor
bf207d63	bf16	0.000	0.000	0.000	0.000	0.000	1.219	0.993	0.983	0.964	0.961	1.045	discard	minimax bf16 decode CTA1 only for bs1-3; batch4 CTA2 lost short-context and geo
1d930266	bf16	0.000	0.000	0.000	0.000	0.000	1.218	0.998	0.985	0.966	0.962	1.049	discard	minimax bf16 decode row0 QK 1x1 helper; +0.001 geo noise and worse short-context floor
ce64f606	bf16	0.000	0.000	0.000	0.000	0.000	1.204	0.995	0.980	0.965	0.958	1.044	discard	minimax bf16 decode row0 softmax update only; regressed geo and short-context floor
a03c35f0	bf16	0.000	0.000	0.000	0.000	0.000	1.191	1.002	0.985	0.964	0.962	1.047	discard	minimax bf16 decode row0 score-mask specialization; geo below kept CTA1 and short-context floor regressed
8119f4e4	bf16	0.000	0.000	0.000	0.000	0.000	1.224	0.994	0.980	0.964	0.961	1.048	discard	minimax bf16 decode sync row padding 16; geomean noise and e64/e512/e2048/e8192 floors worsened
2d2948fe	bf16	0.000	0.000	0.000	0.000	0.000	1.223	1.002	0.983	0.966	0.961	1.051	candidate	minimax bf16 decode row0 merge/store path only; +0.003 over CTA1, rerun pending as probe
7a324255	bf16	0.000	0.000	0.000	0.000	0.000	1.215	1.005	0.983	0.965	0.962	1.050	keep	minimax bf16 decode row0 merge/store rerun; confirms 2d2948fe candidate as active probe
c30301a7	bf16	0.000	0.000	0.000	0.000	0.000	1.222	1.003	0.981	0.963	0.959	1.050	discard	minimax bf16 decode row0 update stacked on merge/store; no incremental geo over active probe and long floors regressed
25f5ab96	bf16	0.000	0.000	0.000	0.000	0.000	1.241	1.007	0.982	0.966	0.960	1.051	candidate	minimax bf16 decode row0 QK specialization stacked on merge/store; +0.003 over CTA1 with e64/e512 lift, rerun pending
25f5ab96	bf16	0.000	0.000	0.000	0.000	0.000	1.231	1.006	0.982	0.963	0.960	1.050	keep	minimax bf16 decode row0 QK specialization rerun; keep as active probe after first run hit candidate bar
ff9cbcbc	bf16	0.000	0.000	0.000	0.000	0.000	1.199	0.998	0.982	0.964	0.961	1.046	discard	minimax bf16 decode sync row padding 32 on row0 QK+merge; regressed geo and short/e512 floors
4805c127	bf16	0.000	0.000	0.000	0.000	0.000	1.238	1.007	0.984	0.967	0.959	1.051	candidate	minimax bf16 decode K-stage release stacked on row0 QK+merge; candidate-level geo, rerun pending
4805c127	bf16	0.000	0.000	0.000	0.000	0.000	1.222	1.007	0.983	0.967	0.961	1.050	keep	minimax bf16 decode K-stage release rerun on row0 QK+merge; keep as active stacked probe after candidate first run
50c63a62	bf16	0.000	0.000	0.000	0.000	0.000	1.211	1.002	0.981	0.967	0.960	1.051	candidate	minimax bf16 decode row0 score-mask specialization stacked on QK+merge+K-release; candidate-band geo but floor regressions, rerun pending
50c63a62	bf16	0.000	0.000	0.000	0.000	0.000	1.250	1.008	0.986	0.964	0.960	1.053	keep	minimax bf16 decode row0 score-mask specialization rerun; +0.003 over active rerun, targeted BF16 decode graph guardrails passed
fc0583de	bf16	0.000	0.000	0.000	0.000	0.000	1.208	1.002	0.984	0.963	0.960	1.052	discard	minimax bf16 decode row0 PV 1x1 helper stacked on score-mask; no incremental geo over active and floor columns regressed
2b5a067c	bf16	0.000	0.000	0.000	0.000	0.000	1.235	1.002	0.983	0.965	0.963	1.053	candidate	minimax bf16 decode row0 QK offset advance; geo ties active, longest floor +0.003, rerun before keep/revert
2b5a067c	bf16	0.000	0.000	0.000	0.000	0.000	1.222	1.005	0.987	0.967	0.961	1.051	discard	minimax bf16 decode row0 QK offset advance rerun; candidate did not confirm geo and short-context floor regressed
6fc9ccfe	bf16	0.000	0.000	0.000	0.000	0.000	1.232	1.002	0.982	0.968	0.959	1.049	discard	minimax bf16 decode row0 update helper on current decode stack; geomean and most floor columns regressed
62841584	bf16	0.000	0.000	0.000	0.000	0.000	1.208	1.004	0.985	0.966	0.961	1.049	discard	minimax bf16 decode skip unit V scale on current row0 stack; geomean and short-context floor regressed
1b564133	bf16	0.000	0.000	0.000	0.000	0.000	1.201	1.001	0.980	0.968	0.961	1.048	candidate	minimax bf16 decode row0 rowsum helper; e8192 floor +0.004 but geo/short-context regressed, rerun before revert under +0.003 rule
1b564133	bf16	0.000	0.000	0.000	0.000	0.000	1.251	1.007	0.984	0.963	0.961	1.051	discard	minimax bf16 decode row0 rowsum helper rerun; candidate long-context gain did not confirm and geo stayed below active
39020702	bf16	0.000	0.000	0.000	0.000	0.000	1.222	1.016	1.011	1.007	1.003	1.070	candidate	minimax bf16 decode CTA selector bs2=6 bs3=4 bs4=4; strong geo/long-context lift, rerun before keep
39020702	bf16	0.000	0.000	0.000	0.000	0.000	1.203	1.020	1.017	1.009	1.005	1.072	keep	minimax bf16 decode CTA selector bs2=6 bs3=4 bs4=4 rerun; confirmed strong geo/long-context lift, targeted BF16 decode graph guardrails passed
7f39f88c	bf16	0.000	0.000	0.000	0.000	0.000	1.229	1.020	1.015	1.005	1.002	1.074	candidate	minimax bf16 decode three-stage TMA on CTA selector; e64 lift and +0.002 geo, rerun before keep/revert under +0.003 policy
7f39f88c	bf16	0.000	0.000	0.000	0.000	0.000	1.218	1.024	1.019	1.008	1.006	1.077	keep	minimax bf16 decode three-stage TMA rerun on CTA selector; confirmed +0.005 geo with targeted BF16 decode graph guardrails passed
559e760d	bf16	0.000	0.000	0.000	0.000	0.000	1.238	1.018	1.019	1.013	1.004	1.077	candidate	minimax bf16 decode row0 Q ingress on three-stage TMA stack; geo tied keep with e64/e8192 floor lift, rerun before keep/revert
559e760d	bf16	0.000	0.000	0.000	0.000	0.000	1.209	1.017	1.015	1.008	1.009	1.075	discard	minimax bf16 decode row0 Q ingress rerun; candidate floor lift did not confirm and geo/floor mix regressed vs three-stage TMA keep
fb71355e	bf16	0.000	0.000	0.000	0.000	0.000	1.270	1.020	1.017	1.007	1.003	1.075	candidate	minimax bf16 decode skip unit V scale after three-stage TMA; e64 floor lift but geo/long floors down, rerun before keep/revert
fb71355e	bf16	0.000	0.000	0.000	0.000	0.000	1.235	1.016	1.016	1.008	1.001	1.073	discard	minimax bf16 decode skip unit V scale after three-stage TMA rerun; short floor lift not worth geomean and long-context regression
fd7f516e	bf16	0.000	0.000	0.000	0.000	0.000	1.261	1.020	1.014	1.011	1.003	1.077	candidate	minimax bf16 decode bs2 CTA7 selector on three-stage TMA; geo tied keep with e64/e8192 lift, rerun before keep/revert
fd7f516e	bf16	0.000	0.000	0.000	0.000	0.000	1.265	1.023	1.012	1.010	1.003	1.075	candidate	minimax bf16 decode bs2 CTA7 selector rerun; confirmed e64 lift but geo and mid/long floors trail three-stage TMA keep, leaving as probe under +0.003 rule
111a5f78	bf16	0.000	0.000	0.000	0.000	0.000	1.258	1.027	1.016	1.014	1.004	1.076	candidate	minimax bf16 decode four-stage TMA on CTA7 probe; e512/e8192 clear +0.003 bar but geo trails three-stage keep, rerun before keep/revert
111a5f78	bf16	0.000	0.000	0.000	0.000	0.000	1.272	1.028	1.023	1.012	0.998	1.074	candidate	minimax bf16 decode four-stage TMA rerun; mid-context floors confirm +0.003 but longest floor regresses, leaving as stacked probe
fa2cb88b	bf16	0.000	0.000	0.000	0.000	0.000	1.270	1.025	1.017	1.011	1.004	1.075	candidate	minimax bf16 decode row0 packed update on four-stage CTA7 probe; recovers longest floor vs TMA4 rerun but still trails active keep geo, rerun before keep/revert
fa2cb88b	bf16	0.000	0.000	0.000	0.000	0.000	1.252	1.017	1.020	1.005	1.007	1.076	discard	minimax bf16 decode row0 packed update rerun; did not confirm active-keep improvement, reverting stacked update probe
111a5f78	bf16	0.000	0.000	0.000	0.000	0.000	1.272	1.028	1.023	1.012	0.998	1.074	discard	minimax bf16 decode four-stage TMA; stacked update failed to recover geo/long-context tradeoff, reverting four-stage probe
7a888fd8	bf16	0.000	0.000	0.000	0.000	0.000	1.250	1.014	1.011	1.008	1.003	1.075	candidate	minimax bf16 decode bs2 CTA5 selector on three-stage TMA; short-context floor clears +0.003 bar but geo/mid floors trail keep, rerun before revert
7a888fd8	bf16	0.000	0.000	0.000	0.000	0.000	1.253	1.015	1.012	1.010	1.001	1.075	candidate	minimax bf16 decode bs2 CTA5 selector rerun; confirmed short-context lift but geo and longest floor trail three-stage TMA keep, keeping only as probe
4825c222	bf16	0.000	0.000	0.000	0.000	0.000	1.256	1.015	1.016	1.010	1.004	1.074	candidate	minimax bf16 decode bs2 CTA8 selector on CTA5 probe; short-context floor clears +0.003 bar but geo trails keep, rerun before revert
4825c222	bf16	0.000	0.000	0.000	0.000	0.000	1.264	1.025	1.017	1.010	1.004	1.075	candidate	minimax bf16 decode bs2 CTA8 selector rerun; confirmed short-context lift and e512 recovery but geo trails three-stage TMA keep, leaving as planner probe
284dd30d	bf16	0.000	0.000	0.000	0.000	0.000	0.396	0.810	1.022	0.883	0.587	0.987	discard	minimax bf16 decode early V wait token on row0 path; bs2 latency collapsed despite correct outputs, reverting
634a68ce	bf16	0.000	0.000	0.000	0.000	0.000	1.209	1.016	1.004	0.996	0.984	1.066	discard	minimax bf16 decode CTA5 for bs3/bs4 with bs2 restored to CTA6; long-context floors regressed hard, reverting
0b1f7d96	bf16	0.000	0.000	0.000	0.000	0.000	1.197	1.014	1.017	1.008	1.003	1.071	discard	minimax bf16 decode CTA2 bs1 with bs2 restored to CTA6; geo and floors trail three-stage TMA keep, reverting
feb3d0fc	bf16	0.000	0.000	0.000	0.000	0.000	0.319	0.161	0.155	0.153	0.151	0.210	discard	minimax bf16 decode 128-wide TMA planes; correctness failed with rel_l2 around 1.2-1.35 and severe performance collapse, reverting
0133d4cd	bf16	0.000	0.000	0.000	0.000	0.000	1.207	1.016	0.992	0.989	0.979	1.064	discard	minimax bf16 decode CTA3 for bs3/bs4 on three-stage TMA; under-splits long contexts and regresses geo, reverting
5893c874	bf16	0.000	0.000	0.000	0.000	0.000	1.261	1.015	1.017	1.011	1.002	1.076	candidate	minimax bf16 decode two-stage TMA; e64 and e8192 clear candidate bar but geo/long floors trail three-stage keep, rerun before keep/revert
b19693e8	bf16	0.000	0.000	0.000	0.000	0.000	1.236	0.128	0.103	0.089	0.082	0.677	discard	minimax bf16 bs1 nosplit direct writeback; bs1 short rose to 1.549 but long-context bs1 collapsed after removing split parallelism
e28455b3	bf16	0.000	0.000	0.000	0.000	0.000	1.230	1.019	1.016	1.009	1.001	1.070	discard	minimax bf16 bs1 one-chunk direct writeback on single-request graph; path confirmed but captured graph still launches merge no-op and geo/floors trail active stack
b8b126ec	bf16	0.000	0.000	0.000	0.000	0.000	1.307	1.023	1.015	1.016	1.003	1.089	keep	minimax bf16 decode harvested rs-4 role-specialized TMA producer plus early producer start; strong bs1/e64 lift and geo best, paired guardrail hit cold capture invalidation but single rerun passed
48964116	bf16	0.000	0.000	0.000	0.000	0.000	1.307	1.016	1.013	1.012	0.997	1.083	discard	minimax bf16 role-specialized producer path with consumer setmaxregister 232; e512/e8192/long floors regressed versus 248 and bs2 long fell below parity, reverting
67c20ca7	bf16	0.000	0.000	0.000	0.000	0.000	1.293	1.022	1.019	1.006	0.997	1.084	discard	minimax bf16 role-specialized producer warp setmaxregister 64; e2048 recovered but short/e8192/long floors and geo trail producer80 keep, reverting
5f289042	bf16	0.000	0.000	0.000	0.000	0.000	1.308	1.021	1.009	1.000	0.994	1.079	discard	minimax bf16 role-specialized producer K-ahead/V-lag schedule smoke100; correctness passed but mid/long floors regressed hard, reverting without full run
f8afc8d5	bf16	0.000	0.000	0.000	0.000	0.000	1.293	1.020	1.016	1.016	0.996	1.088	discard	minimax bf16 decode host skip for single-split merge launch stacked on producer-warp keep; standard bs1-4 matrix neutral-to-worse and long floor dropped below parity, reverting
144d78db	bf16	0.000	0.000	0.000	0.000	0.000	1.304	1.022	1.010	1.012	1.003	1.086	discard	minimax bf16 decode sync-O shared-memory row stride pad8 stacked on producer-warp keep; mid-context floors and geo regressed versus pad24, reverting
c985e66d	bf16	0.000	0.000	0.000	0.000	0.000	1.298	0.135	0.110	0.095	0.086	0.686	discard	minimax bf16 bs1 LSE-free no-split direct writeback; bs1 short improved but long-context split parallelism collapsed, reverting
e9d48737	bf16	0.000	0.000	0.000	0.000	0.000	1.316	1.016	1.016	1.009	0.996	1.089	candidate	minimax bf16 bs1 split-merge public LSE store skip; e64 clears candidate bar but long floors trail producer-warp keep, rerun before keep/revert
e9d48737	bf16	0.000	0.000	0.000	0.000	0.000	1.310	1.023	1.007	1.010	1.004	1.085	discard	minimax bf16 bs1 split-merge public LSE store skip rerun; e64 lift barely confirms but e2048/e8192 and geo regress versus producer-warp keep, reverting
42b23527	bf16	0.000	0.000	0.000	0.000	0.000	1.323	1.022	1.022	1.009	1.006	1.089	candidate	minimax bf16 decode row0 MDO updater lift; e64/e2048/e32768 clear candidate bar but e8192 trails producer-warp keep, rerun before keep/revert
42b23527	bf16	0.000	0.000	0.000	0.000	0.000	1.300	1.022	1.015	1.011	1.003	1.086	discard	minimax bf16 decode row0 MDO updater lift rerun; candidate gains did not confirm and e64/e8192/geo trail producer-warp keep, reverting
55074f8f	bf16	0.000	0.000	0.000	0.000	0.000	1.304	1.023	1.019	1.005	0.997	1.085	candidate	minimax bf16 decode row0 PV helper; e2048 clears +0.003 candidate bar but e64/e8192/e32768 and geo trail producer-warp keep, rerun before keep/revert
55074f8f	bf16	0.000	0.000	0.000	0.000	0.000	1.335	1.015	1.020	1.011	1.004	1.088	keep	minimax bf16 decode row0 PV helper rerun; e64 and e2048 confirm above +0.003 bar with clean checks, keeping as probe despite e512/e8192 and geo trailing producer-warp keep
079e412b	bf16	0.000	0.000	0.000	0.000	0.000	1.281	1.023	1.017	1.007	1.002	1.084	discard	minimax bf16 decode row0 QK recurrent offsets stacked on row0 PV probe; correctness clean but e64/e8192/geo regress and no floor clears +0.003 over producer-warp keep, reverting
c932e4dc	bf16	0.000	0.000	0.000	0.000	0.000	1.324	1.024	1.013	1.008	1.003	1.087	candidate	minimax bf16 decode row0 PV helper skip unit V scale; e64 remains above +0.003 and e512 recovers over producer-warp keep, but e2048/e8192/geo trail row0 PV probe, rerun before keep/revert
c932e4dc	bf16	0.000	0.000	0.000	0.000	0.000	1.304	1.023	1.015	1.007	1.002	1.088	discard	minimax bf16 decode row0 PV helper skip unit V scale rerun; e512 holds baseline but e64/e2048/e8192/e32768 do not beat active row0 PV probe and e8192 trails producer-warp keep, reverting
ed48a217	bf16	0.000	0.000	0.000	0.000	0.000	1.327	1.015	1.014	1.007	1.001	1.087	discard	minimax bf16 decode row0 metadata and final m-scale specialization stacked on row0 PV probe; correctness clean but marginal floors regress versus active probe, reverting
006fd069	bf16	0.000	0.000	0.000	0.000	0.000	1.339	1.014	1.017	1.016	1.002	1.089	candidate	minimax bf16 decode row0 PV recurrent V offsets; e64 and e8192 clear +0.003 over active row0 PV probe with clean checks, rerun before keep/revert
006fd069	bf16	0.000	0.000	0.000	0.000	0.000	1.299	1.019	1.018	1.012	1.004	1.087	discard	minimax bf16 decode row0 PV recurrent V offsets rerun; e512 improves but e64 candidate collapsed below active row0 PV probe and producer-warp keep, reverting
5bc491cf	bf16	0.000	0.000	0.000	0.000	0.000	1.291	1.023	1.019	1.009	1.000	1.085	discard	minimax bf16 decode producer-worker setmaxregister 256 harvested from rs2; correctness clean but short/long floors and geo regress versus active row0 PV probe, reverting
645ad88d	bf16	0.000	0.000	0.000	0.000	0.000	1.324	1.020	1.018	1.011	1.003	1.089	candidate	minimax bf16 decode row0 mask uses direct GQA lane predicate; e512 clears +0.003 over active row0 PV probe but e64 regresses, rerun before keep/revert
645ad88d	bf16	0.000	0.000	0.000	0.000	0.000	1.322	1.016	1.011	1.014	1.005	1.087	discard	minimax bf16 decode row0 mask uses direct GQA lane predicate rerun; e512 did not confirm and e64/e2048/geo trail active row0 PV probe, reverting
816e6b40	bf16	0.000	0.000	0.000	0.000	0.000	1.239	1.031	1.015	1.012	1.004	1.081	candidate	minimax bf16 decode narrow d128 merge rows; e512 clears +0.003 candidate bar over active row0 PV probe but e64 collapses and geo regresses, rerun before keep/revert
816e6b40	bf16	0.000	0.000	0.000	0.000	0.000	1.251	1.025	1.008	1.009	1.005	1.082	discard	minimax bf16 decode narrow d128 merge rows rerun; e512 lift confirms but e64/e2048/e8192/geo regress versus active row0 PV probe, reverting
92228a04	bf16	0.000	0.000	0.000	0.000	0.000	1.265	1.035	1.025	1.017	1.007	1.086	candidate	minimax bf16 decode merge paired 8-byte partial loads with default row shape; e512/e2048/e8192/e32768 clear +0.003 over active row0 PV probe but e64 regresses hard, rerun before keep/revert
92228a04	bf16	0.000	0.000	0.000	0.000	0.000	1.263	1.037	1.025	1.012	1.005	1.086	candidate	minimax bf16 decode merge paired 8-byte partial loads rerun; e512/e2048 confirm above +0.003 but e64 remains a large regression, keeping only as parent for a thresholded follow-up probe
eef0f6cd	bf16	0.000	0.000	0.000	0.000	0.000	1.306	1.032	1.020	1.018	1.002	1.090	candidate	minimax bf16 decode guarded paired merge partial loads for num_index_sets >= 8; e512/e8192 and geo improve while e64 recovers near producer-warp baseline, rerun before keep/revert
eef0f6cd	bf16	0.000	0.000	0.000	0.000	0.000	1.284	1.031	1.012	1.007	1.005	1.088	discard	minimax bf16 decode guarded paired merge partial loads rerun; e512 confirms but e64/e2048/e8192 and profile balance do not beat active row0 PV probe, reverting paired-load stack
4b1cfce0	bf16	0.000	0.000	0.000	0.000	0.000	1.323	1.028	1.019	1.016	0.998	1.091	candidate	minimax bf16 decode row0 QK paired Q preload; geo/e512/e8192 clear candidate bar but e32768 falls below parity, rerun before keep/revert
4b1cfce0	bf16	0.000	0.000	0.000	0.000	0.000	1.317	1.023	1.017	1.010	1.002	1.089	keep	minimax bf16 decode row0 QK paired Q preload rerun; e512 confirms above +0.003 as a probe, while e64/e2048/e8192/e32768 remain weaker than row0 PV baseline
ee6fd84a	bf16	0.000	0.000	0.000	0.000	0.000	1.342	1.018	1.013	1.009	1.000	1.088	candidate	minimax bf16 decode row0 QK paired K preload stacked on paired Q preload; e64 clears +0.003 candidate bar but mid/long floors trail current probe, rerun before keep/revert
ee6fd84a	bf16	0.000	0.000	0.000	0.000	0.000	1.314	1.020	1.016	1.011	0.996	1.087	discard	minimax bf16 decode row0 QK paired K preload rerun; e64 lift did not confirm and e32768 regresses below parity, reverting
e6ed3df9	bf16	0.000	0.000	0.000	0.000	0.000	1.322	1.023	1.017	1.010	1.000	1.087	candidate	minimax bf16 decode row0 PV paired V preload stacked on paired Q preload; e64 clears +0.003 candidate bar but e32768 and geo trail current probe, rerun before keep/revert
e6ed3df9	bf16	0.000	0.000	0.000	0.000	0.000	1.301	1.030	1.017	1.012	1.000	1.087	keep	minimax bf16 decode row0 PV paired V preload rerun; e512 confirms above +0.003 as a probe, while e64/e32768 and geo trail current paired-Q probe
4f1e3901	bf16	0.000	0.000	0.000	0.000	0.000	1.300	1.025	1.020	1.007	1.001	1.087	candidate	minimax bf16 decode skip bs1 merge public LSE store on current row0 PV stack; e2048 clears +0.003 candidate bar but e512/e8192 regress, rerun before keep/revert
4f1e3901	bf16	0.000	0.000	0.000	0.000	0.000	1.284	1.024	1.017	1.011	1.001	1.087	discard	minimax bf16 decode skip bs1 merge public LSE store rerun; e2048 lift did not confirm and e64/e512 floors trail active row0 PV keep, reverting
8ad5d0b2	bf16	0.000	0.000	0.000	0.000	0.000	1.316	1.021	1.011	1.006	0.997	1.088	candidate	minimax bf16 decode GQA6 guarded single-row graph merge/store path; e64 clears +0.003 but mid/long floors regress, rerun before keep/revert
8ad5d0b2	bf16	0.000	0.000	0.000	0.000	0.000	1.329	1.024	1.023	1.010	1.004	1.092	keep	minimax bf16 decode GQA6 guarded single-row graph merge/store rerun; e64/e2048/e32768 and geo confirm, decode cuda-graph passes but unrelated extend guardrails fail
1af6d130	bf16	0.000	0.000	0.000	0.000	0.000	1.311	1.022	1.014	1.000	0.999	1.089	candidate	minimax bf16 decode-only guard on GQA6 single-row graph path; e64 clears +0.003 but mid/long floors trail 8ad5 probe, rerun before keep/revert
1af6d130	bf16	0.000	0.000	0.000	0.000	0.000	1.336	1.014	1.016	1.006	1.004	1.089	keep	minimax bf16 decode-only GQA6 single-row graph path rerun; e64/e32768 confirm as probe, decode cuda-graph passes while existing extend graph guardrails fail
7c320a66	bf16	0.000	0.000	0.000	0.000	0.000	1.307	1.023	1.016	1.012	1.003	1.090	candidate	minimax bf16 bs1-only GQA6 single-row graph path; e64/e32768/geo clear +0.003 while e8192 recovers, rerun before keep/revert
7c320a66	bf16	0.000	0.000	0.000	0.000	0.000	1.320	1.016	1.018	1.006	1.001	1.089	keep	minimax bf16 bs1-only GQA6 single-row graph path rerun; e64 confirms as narrower probe, decode cuda-graph single test passes; sudo ncu full bs2@16k fwd active stalls long_scoreboard/wait/barrier with persistent sleeping dominant, WPI 34.9, occ 20.8/14.5%, smem bank 6.7k, MIO 0.10; bs4@131k fwd active stalls long_scoreboard/wait/selected, WPI 40.8, occ 20.8/17.3%, smem bank 45.1k, MIO 0.06
03a468c6	bf16	0.000	0.000	0.000	0.000	0.000	1.104	1.019	1.012	1.011	1.012	1.079	discard	minimax bf16 decode merge pairloads bs1-4 harvested from rs-2 b6877289; check passes but local full rerun regresses active 7c320a66 geo 1.089 and rs-2 later marked high unreproduced, log=run.bf16.03a468c6.merge_pairloads_bs1_4.log
446cb952	bf16	0.000	0.000	0.000	0.000	0.000	1.342	1.018	1.014	1.011	1.006	1.090	candidate	minimax bf16 decode merge pairloads limited to bs2-4; restores bs1 single-row path and beats bs1-4 harvest, e8192/e32768 clear +0.003 over 7c320a66 but geo is only +0.001, rerun before keep/revert
446cb952	bf16	0.000	0.000	0.000	0.000	0.000	1.341	1.019	1.010	1.009	1.006	1.091	keep	minimax bf16 decode merge pairloads limited to bs2-4 rerun; e512/e8192/e32768 confirm at or above +0.003 over 7c320a66 and geo nudges up, while e2048 regresses and is the next target
27fc53c3	bf16	0.000	0.000	0.000	0.000	0.000	1.347	1.008	1.013	1.008	1.005	1.089	discard	minimax bf16 decode raise merge pairload threshold to 32; partially buys back e2048 but collapses e512 and drops geo back to 7c320a66, reverting
a3a93e15	bf16	0.000	0.000	0.000	0.000	0.000	1.345	1.014	1.006	1.006	1.005	1.088	discard	minimax bf16 decode skip merge pairloads for 31-way splits; targeted guard misses and worsens e2048/e8192 plus geo, reverting
108a3903	bf16	0.000	0.000	0.000	0.000	0.000	1.318	1.022	1.010	1.006	1.000	1.084	discard	minimax bf16 decode K-only producer warp with V consumer-issued; bs2@16k and bs4@131k improved, but e64/e32768 floors and geo regressed, reverting
cc9d81ad	bf16	0.000	0.000	0.000	0.000	0.000	1.327	1.016	1.014	1.007	1.001	1.087	candidate	minimax bf16 decode row0 late output normalization; e2048 clears +0.003 over active 446cb952 but e64/e32768 and geo regress, rerun before keep/revert
